position,data/towovabiqe,data/towovabiqe-inverted,data/current
416,1308,25576,2055.005618295853
417,1293,25591,2026.214232368967
418,1287,25597,1997.473580188056
419,1285,25599,1968.7834832701428
420,1234,25650,1940.1437640724669
421,0,0,1911.5542459858782
422,1139,25745,1883.0147533283175
423,1120,25764,1854.525111338323
424,0,0,1826.0851461686257
425,1069,25815,1797.6946848797684
426,1052,25832,1769.3535554338114
427,1027,25857,1741.0615866880617
428,0,0,1712.8186083888882
429,1021,25863,1684.6244511655586
430,1011,25873,1656.4789465241604
431,990,25894,1628.3819268415439
432,955,25929,1600.3332253593476
433,943,25941,1572.3326761780447
434,940,25944,1544.3801142510706
435,880,26004,1516.4753753789712
436,0,0,1488.618296203629
437,838,26046,1460.8087142025117
438,834,26050,1433.0464676829986
439,804,26080,1405.3313957767223
440,748,26136,1377.6633384339925
441,745,26139,1350.0421364182362
442,724,26160,1322.4676313005116
443,678,26206,1294.9396654540424
444,673,26211,1267.458082048826
445,653,26231,1240.0227250462585
446,605,26279,1212.6334391938317
447,601,26283,1185.290070019848
448,594,26290,1157.9924638282093
449,0,0,1130.7404676932158
450,593,26291,1103.5339294544433
451,536,26348,1076.372697711629
452,498,26386,1049.2566218196314
453,434,26450,1022.1855518834034
454,0,0,995.1593387530336
455,425,26459,968.1778340188027
456,408,26476,941.240890006308
457,385,26499,914.3483597715976
458,384,26500,887.5000970963781
459,345,26539,860.6959564832274
460,340,26544,833.9357931508802
461,0,0,807.2194630295199
462,333,26551,780.5468227561402
463,0,0,753.9177296699138
464,0,0,727.3320418076299
465,0,0,700.7896178991375
466,330,26554,674.2903173628567
467,320,26564,647.8340003012959
468,310,26574,621.4205274966355
469,305,26579,595.0497604063173
470,301,26583,568.7215611586996
471,262,26622,542.435792548717
472,248,26636,516.1923180336053
473,225,26659,489.9910017286306
474,184,26700,463.8317084028833
475,142,26742,437.71430347507464
476,122,26762,411.63865300939796
477,0,0,385.6046237113921
478,113,26771,359.6120829238683
479,85,26799,333.6608986228394
480,76,26808,307.7509394135114
481,0,0,281.88207452627637
482,57,26827,256.05417381276794
483,43,26841,230.26710774191721
484,40,26844,204.5207473960699
485,36,26848,178.8149644671048
486,22,26862,153.14963125261153
487,10,26874,127.52462065206963
488,8,26876,101.93980616308657
489,0,0,76.39506187763598
490,5,26879,50.890262478354614
491,0,0,25.42528323483899
492,3,26881,0
